name,category,type,owned
소금,기본조미료,조미료,False
설탕,기본조미료,조미료,False
후추,기본조미료,조미료,False
식초,기본조미료,조미료,False
맛술,기본조미료,조미료,False
식용유,기본조미료,조미료,False
참기름,기본조미료,조미료,False
올리브오일,기본조미료,조미료,False
간장,장류,조미료,False
진간장,장류,조미료,False
국간장,장류,조미료,False
고추장,장류,조미료,False
된장,장류,조미료,False
쌈장,장류,조미료,False
굴소스,장류,조미료,False
다시다,감칠맛베이스,조미료,False
치킨스톡,감칠맛베이스,조미료,False
멸치액젓,감칠맛베이스,조미료,False
새우젓,감칠맛베이스,조미료,False
미림,감칠맛베이스,조미료,False
고춧가루,향신료,조미료,False
다진마늘,향신료,조미료,False
생강,향신료,조미료,False
카레가루,향신료,조미료,False
라면사리,면류,가공식품,False
우동사리,면류,가공식품,False
밀면사리,면류,가공식품,False
스파게티면,면류,곡류,False
소면,면류,곡류,False
당면,면류,곡류,False
백미,밥류,곡류,False
즉석밥,밥류,가공식품,False
라면스프,면류,가공식품,False
후레이크,면류,가공식품,False
양파,채소,채소,False
대파,채소,채소,False
감자,채소,채소,False
당근,채소,채소,False
김치,채소,채소,False
계란,단백질,육류해산물,False
베이컨,단백질,육류해산물,False
소시지,단백질,가공식품,False
냉동만두,단백질,가공식품,False
참치캔,단백질,가공식품,False
스팸,단백질,가공식품,False
버터,유제품,유제품,False
우유,유제품,유제품,False
슬라이스치즈,유제품,유제품,False
파마산치즈,유제품,유제품,False
